"devicename","driverversion"
"Generic software device","10.0.14393.0"
"Generic software device","10.0.14393.0"
"Local Print Queue","10.0.14393.0"
"Local Print Queue","10.0.14393.0"
"Local Print Queue","10.0.14393.0"
"Microsoft ISATAP Adapter","10.0.14393.0"
"Microsoft ISATAP Adapter","10.0.14393.0"
"Generic software device","10.0.14393.0"
"Generic software device","10.0.14393.0"
"Microsoft Failover Cluster Virtual Adapter","10.0.14393.2155"
"Remote Desktop Device Redirector Bus","10.0.14393.0"
"Plug and Play Software Device Enumerator","10.0.14393.0"
"Microsoft System Management BIOS Driver","10.0.14393.0"
"Microsoft Multi-Path Device Specific Module","10.0.14393.2395"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Disk drive","10.0.14393.1613"
"Microsoft Multi-Path Bus Driver","10.0.14393.2097"
"Cluster Disk Driver","10.0.14393.0"
"Microsoft Network Adapter Multiplexor Driver","10.0.14393.0"
"Microsoft Network Adapter Multiplexor Driver","10.0.14393.0"
"NDIS Virtual Network Adapter Enumerator","10.0.14393.0"
"Microsoft Hyper-V Virtual Disk Server","10.0.14393.2312"
"Cluster storage volume","10.0.14393.0"
"Cluster storage volume","10.0.14393.0"
"Cluster storage volume","10.0.14393.0"
"Cluster storage volume","10.0.14393.0"
"Cluster storage volume","10.0.14393.0"
"Cluster storage volume","10.0.14393.0"
"Cluster storage volume","10.0.14393.0"
"CSV Volume Bus","10.0.14393.1613"
"Microsoft Basic Render Driver","10.0.14393.2155"
"Microsoft Hyper-V PCI Server","10.0.14393.2430"
"ACPI Fixed Feature Button","10.0.14393.2155"
"Microsoft ACPI-Compliant Power Meter Device","10.0.14393.0"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M3KTI Registers - 204D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M3KTI Registers - 204C","10.1.2.86"
